"unique_id","PERWT","SEX","EDUC","INCWAGE"
"201001483881",32433.6,2,8,35000
"201001483882",59694.6,1,8,0
"201001485271",10764.6,1,7,30000
"201001485272",15098.4,1,10,3500
"201001485273",10904.4,1,8,27000
"201001488071",10624.8,1,10,0
"201001488072",8388,2,10,120000
"201001489471",7549.2,1,8,0
"201001489472",7828.8,2,10,0
"201001490871",26701.8,1,10,8000
"201001492261",8248.2,2,10,20000
"201001493661",8667.6,2,6,47000
"201001493662",7269.6,1,6,29000
"201001493663",13281,1,6,15600
"201001496461",15657.6,1,11,159000
"201001497861",9925.8,2,5,0
"201001497862",10065.6,1,5,0
"201001499251",8108.4,1,10,110000
"201001499252",7269.6,2,10,2500
"201001500651",7129.8,2,6,0
"201001502051",10485,1,10,0
"201001502052",8248.2,2,10,0
"201001503451",5731.8,1,2,0
"201001503452",4753.2,2,2,0
"201001504851",10624.8,2,7,1200
"201001504852",9506.4,1,7,0
"201001506241",11603.4,1,10,0
"201001506242",12162.6,2,7,0
"201001507641",10904.4,1,10,50000
"201001510441",6710.4,2,5,0
"201001510447",10624.8,2,2,7800
"201001510448",10345.2,2,6,0
"201001510449",7269.6,1,5,0
"2010015104410",5312.4,1,5,0
"201001511841",6291,1,6,0
"201001514631",11044.2,2,8,70000
"201001517431",10205.4,1,6,31000
"201001517432",10205.4,2,11,1e+05
"201001518831",8108.4,2,7,0
"201001520221",12302.4,2,8,65000
"201001520222",13700.4,1,5,0
"201001521621",9646.2,1,6,0
"201001523021",8248.2,1,7,0
"201001523022",7828.8,2,8,0
"201001524421",10065.6,1,7,83000
"201001524422",17614.8,2,8,0
"201001524425",11323.8,2,7,400
"201001525821",12302.4,2,11,66000
"201001525822",10764.6,1,11,62000
"201001527211",7828.8,1,11,50000
"201001527212",8248.2,2,11,40000
"201001528611",11463.6,1,8,0
"201001528612",11603.4,2,7,0
"201001530011",1537.8,2,11,0
"201001530012",8947.2,1,10,5900
"201001531411",9226.8,2,6,29000
"201001531412",9786,1,6,60000
"201001531413",11323.8,1,6,9600
"201001532811",7689,2,7,19600
"201001532812",8248.2,1,6,125000
"201001532813",11323.8,2,7,32000
"201001532814",8947.2,2,7,20000
"201001535601",12162.6,1,6,0
"201001535602",11184,2,7,1600
"201001537001",7269.6,2,10,1000
"201001538401",7828.8,1,7,0
"201001539801",7269.6,2,7,0
"201001539802",10345.2,2,10,27900
"201001541191",39423.6,1,7,37000
"201001541192",44875.8,1,10,46000
"201001542591",12162.6,1,4,0
"201001543991",7549.2,1,7,78000
"201001543992",7689,2,6,14000
"201001543993",4473.6,1,6,0
"201001543994",8248.2,1,6,0
"201001545391",19711.8,2,6,0
"201001546791",13141.2,1,10,60000
"201001546792",12022.8,2,10,5000
"201001549581",13700.4,1,6,15000
"201001549582",31175.4,1,6,0
"201001552381",11883,1,7,85000
"201001552382",11463.6,2,6,25000
"201001552383",15378,2,4,0
"201001553781",7689,1,10,24000
"201001555171",9646.2,1,8,0
"201001555172",11883,2,7,0
"201001555173",15657.6,1,7,10000
"201001556571",11323.8,2,10,7000
"201001557971",11883,1,8,0
"201001557972",11883,2,7,41000
"201001559371",12582,1,6,20000
"201001559372",13840.2,2,6,46800
"201001560771",36348,2,7,30000
"201001560772",41380.8,1,4,0
"201001562161",7968.6,1,6,25000
"201001562162",7828.8,2,4,0
"201001563561",14119.8,1,11,30000
"201001564961",11463.6,2,6,0
"201001566361",13560.6,2,6,0
"201001566363",26422.2,1,6,0
"201001567761",6291,1,7,18500
"201001567762",4613.4,2,7,15200
"201001567763",13980,1,6,300
"201001570551",6710.4,1,6,0
"201001570552",4893,2,7,0
"201001571951",3215.4,2,6,17500
"201001573351",35509.2,1,7,15000
"201001574751",10485,2,6,0
"201001576141",9506.4,1,11,0
"201001576142",8947.2,2,6,0
"201001577541",11603.4,2,6,9500
"201001578941",6570.6,2,2,0
"201001578942",4613.4,1,2,0
"201001580341",7409.4,1,6,0
"201001580342",7689,2,4,0
"201001583131",22927.2,2,6,0
"201001583132",16776,1,7,0
"201001584531",12302.4,2,10,42000
"201001584532",21389.4,1,6,0
"201001585931",11323.8,1,6,45000
"201001585932",12861.6,2,6,66000
"201001587331",54242.4,2,8,26000
"201001587332",39982.8,1,6,45000
"201001587334",48930,1,4,0
"201001588731",8248.2,1,6,45000
"201001590121",6570.6,1,6,50000
"201001590122",4054.2,2,6,0
"201001591521",11743.2,1,6,0
"201001594321",13700.4,2,6,38000
"201001594322",10345.2,1,7,0
"201001595721",43477.8,1,6,27000
"201001595722",71158.2,1,6,46000
"201001595723",71018.4,1,6,46000
"201001597111",10065.6,2,7,45900
"201001598511",11323.8,1,10,0
"201001598512",9925.8,2,4,0
"201001599911",8248.2,2,2,0
"201001601311",6570.6,1,6,33000
"201001602711",55221,2,6,100
"201001604101",16636.2,2,6,39000
"201001605501",14119.8,2,10,0
"201001606901",16496.4,2,10,95000
"201001608301",15098.4,1,10,78000
"201001608302",14259.6,2,6,0
"201001608303",14259.6,1,7,4500
"201001609701",22787.4,2,7,0
"201001611091",12582,1,6,106000
"201001611092",10904.4,2,10,45000
"201001612491",7269.6,1,10,85000
"201001612492",7549.2,2,11,50000
"201001612493",10205.4,1,6,5000
"201001612494",22787.4,2,10,32000
"201001612496",13420.8,2,6,15000
"201001613891",4054.2,1,6,0
"201001613892",2935.8,2,6,0
"201001615291",8108.4,2,3,10000
"201001615292",9226.8,1,2,0
"201001615298",11323.8,2,3,0
"201001616691",13001.4,2,6,0
"201001618081",1817.4,1,6,0
"201001618082",2516.4,2,6,54000
"201001619481",26562,1,6,35000
"201001619482",17335.2,2,10,45000
"201001620881",5731.8,1,10,0
"201001620882",2796,2,10,0
"201001622281",15517.8,1,7,0
"201001622282",19991.4,1,10,0
