"","id","abortion","pid","linc","female","college","mar","trump"
"308",308,0,3,NA,0,0,0,NA
"309",309,0,5,10.0753167566096,1,0,0,1
"310",310,0,4,12.2060726455302,0,1,1,1
"311",311,1,NA,11.1198754694258,0,0,0,1
"312",312,1,2,11.5129204649577,0,1,0,0
"313",313,1,0,12.2060726455302,0,1,0,0
"314",314,1,2,11.6952428550888,0,1,1,0
"315",315,1,1,11.1198754694258,0,0,0,0
"316",316,0,4,10.3889799835841,1,1,0,0
"317",317,0,4,11.5129204649577,0,1,1,NA
"318",318,0,1,10.9150793732642,1,0,0,0
"319",319,0,5,11.8493941301565,1,1,1,1
"320",320,1,0,11.1198754694258,0,0,1,0
"321",321,0,6,10.0753167566096,1,0,1,1
"322",322,0,2,10.9150793732642,0,0,1,0
"323",323,0,1,10.2219231016712,0,0,1,NA
"324",324,0,1,9.52875773879718,1,0,0,NA
"325",325,0,6,NA,0,0,0,0
"326",326,-1,5,7.60065242828687,1,0,0,0
"327",327,1,2,10.0753167566096,0,0,0,0
"328",328,0,0,10.0753167566096,1,0,0,0
"329",329,0,1,11.3205475116983,1,1,0,0
"330",330,1,1,11.1198754694258,1,1,0,0
"331",331,1,0,10.5320828785363,0,0,0,0
"332",332,1,1,12.2060726455302,1,1,1,0
"333",333,1,3,NA,1,1,0,NA
"334",334,1,4,10.9150793732642,1,0,0,0
"335",335,0,6,11.982929094216,0,1,1,1
"336",336,0,5,11.3205475116983,0,0,1,NA
"337",337,0,5,10.7144066575796,1,1,0,0
"338",338,1,0,12.2060726455302,0,1,1,0
"339",339,1,2,12.2060726455302,1,1,1,0
"340",340,0,4,12.2060726455302,1,1,0,1
"341",341,0,5,11.8493941301565,0,1,0,1
"342",342,1,NA,12.2060726455302,0,1,1,0
"343",343,0,3,12.2060726455302,1,1,1,0
"344",344,-1,6,12.2060726455302,0,1,1,1
"345",345,0,0,11.3205475116983,1,0,1,0
"346",346,0,0,9.10492429921953,1,0,0,0
"347",347,0,0,NA,1,0,0,NA
"348",348,0,2,9.69581741805373,1,0,0,0
"349",349,1,1,9.69581741805373,1,0,0,NA
"350",350,1,1,10.7144066575796,1,0,1,0
"351",351,0,2,12.2060726455302,1,1,1,NA
"352",352,0,3,10.0753167566096,1,0,1,0
"353",353,1,4,12.2060726455302,1,1,1,1
"354",354,1,1,11.6952428550888,0,1,1,0
"355",355,1,0,12.2060726455302,0,1,1,0
"356",356,0,0,11.1198754694258,1,0,1,0
"357",357,1,0,9.52875773879718,1,0,0,0
"358",358,0,3,11.8493941301565,0,1,1,0
"359",359,1,6,11.3205475116983,0,0,0,1
"360",360,1,4,11.5129204649577,0,0,0,1
"361",361,0,6,NA,0,0,1,1
"362",362,1,NA,11.3205475116983,1,0,1,NA
"363",363,-1,5,10.9150793732642,1,0,1,1
"364",364,1,5,10.7144066575796,1,1,0,1
"365",365,0,6,12.2060726455302,0,0,0,1
"366",366,0,0,NA,1,0,0,0
"367",367,1,0,11.8493941301565,1,1,0,0
"368",368,1,2,11.3205475116983,1,1,0,0
"369",369,1,2,12.2060726455302,1,1,1,NA
"370",370,NA,4,12.2060726455302,0,0,1,NA
"371",371,1,5,12.2060726455302,0,1,0,NA
"372",372,1,0,12.2060726455302,0,1,1,0
"373",373,1,0,12.2060726455302,1,1,0,0
"374",374,1,1,NA,1,0,1,0
"375",375,0,5,11.6952428550888,0,1,0,1
"376",376,1,2,11.5129204649577,1,0,1,0
"377",377,1,2,10.9150793732642,1,0,0,NA
"378",378,NA,3,12.2060726455302,1,0,0,1
"379",379,0,4,11.6952428550888,1,1,0,1
"380",380,1,0,11.8493941301565,1,1,1,0
"381",381,0,3,11.5129204649577,0,0,1,NA
"382",382,NA,5,NA,1,0,0,0
"383",383,1,2,11.5129204649577,1,1,0,0
"384",384,0,1,11.3205475116983,0,1,1,0
"385",385,1,0,12.2060726455302,1,1,1,0
"386",386,1,0,11.1198754694258,1,1,0,0
"387",387,1,3,11.1198754694258,1,1,0,NA
"388",388,0,NA,10.5320828785363,1,1,0,NA
"389",389,-1,0,NA,0,0,1,1
"390",390,0,3,NA,1,0,0,0
"391",391,1,3,10.5320828785363,1,0,0,NA
"392",392,1,0,9.52875773879718,0,1,0,0
"393",393,0,1,NA,1,0,0,NA
"394",394,1,2,8.92259163063542,1,1,0,NA
"395",395,1,1,11.982929094216,0,0,1,0
"396",396,-1,6,12.2060726455302,1,0,1,NA
"397",397,0,4,10.2219231016712,0,0,0,1
"398",398,1,0,11.6952428550888,0,1,1,0
"399",399,1,2,10.9150793732642,0,0,0,0
"400",400,0,3,11.982929094216,1,1,1,1
"401",401,1,3,10.2219231016712,0,1,0,0
"402",402,0,3,NA,1,0,0,NA
"403",403,-1,3,NA,1,0,0,NA
"404",404,-1,5,8.411721558474,1,0,1,NA
"405",405,1,4,10.7144066575796,1,0,0,NA
"406",406,0,4,10.7144066575796,0,0,1,1
"407",407,1,2,9.69581741805373,1,0,0,0
"408",408,-1,NA,NA,1,0,1,NA
"409",409,-1,3,9.10492429921953,1,0,0,NA
"410",410,1,4,11.3205475116983,0,0,1,1
"411",411,-1,3,NA,1,0,1,NA
"412",412,0,1,9.96408864466398,1,0,0,0
"413",413,0,3,NA,0,0,1,1
"414",414,0,6,11.8493941301565,1,0,1,1
"415",415,-1,3,NA,1,0,0,NA
"416",416,1,2,12.2060726455302,0,1,1,0
"417",417,1,3,11.3205475116983,0,0,0,1
"418",418,1,3,10.7144066575796,0,0,0,NA
"419",419,-1,0,10.9150793732642,1,0,1,0
"420",420,1,2,10.9150793732642,1,1,0,NA
"421",421,1,6,10.0753167566096,0,0,1,1
"422",422,1,1,11.8493941301565,1,0,1,0
"423",423,1,4,11.1198754694258,0,0,0,1
"424",424,0,1,NA,1,0,0,NA
"425",425,1,3,10.7144066575796,1,0,1,NA
"426",426,0,4,11.8493941301565,1,1,1,1
"427",427,NA,5,8.16037538012959,1,1,1,1
"428",428,1,1,12.2060726455302,0,1,1,0
"429",429,1,0,12.2060726455302,1,1,0,0
"430",430,0,1,11.6952428550888,1,0,1,NA
"431",431,0,0,11.982929094216,1,1,0,0
"432",432,1,5,12.2060726455302,0,1,1,NA
"433",433,0,0,11.6952428550888,1,1,0,0
"434",434,0,3,10.5320828785363,1,1,1,NA
"435",435,NA,0,NA,0,0,0,0
"436",436,1,NA,NA,1,1,1,NA
"437",437,1,0,11.6952428550888,1,0,0,0
"438",438,1,6,12.2060726455302,1,1,1,1
"439",439,1,4,12.2060726455302,1,1,1,1
"440",440,0,4,10.5320828785363,1,0,0,NA
"441",441,1,2,10.0753167566096,0,1,1,NA
"442",442,1,0,11.3205475116983,1,1,1,0
"443",443,1,NA,NA,1,1,0,0
"444",444,1,0,10.9150793732642,1,0,1,0
"445",445,-1,3,11.5129204649577,1,0,1,NA
"446",446,0,4,11.6952428550888,0,0,0,0
"447",447,-1,1,10.3889799835841,1,0,0,NA
"448",448,1,2,11.982929094216,1,1,0,0
"449",449,1,1,NA,1,0,0,0
"450",450,1,1,NA,1,0,0,NA
"451",451,0,0,11.5129204649577,0,0,0,0
"452",452,1,1,10.9150793732642,1,1,1,NA
"453",453,0,3,11.1198754694258,1,0,0,NA
"454",454,1,0,12.2060726455302,1,1,0,0
"455",455,1,0,11.6952428550888,1,1,0,0
"456",456,1,1,11.1198754694258,0,0,0,NA
"457",457,0,2,10.9150793732642,0,1,0,0
"458",458,0,5,12.2060726455302,1,0,1,NA
"459",459,-1,NA,11.3205475116983,1,0,1,1
"460",460,-1,1,10.2219231016712,1,0,1,NA
"461",461,1,0,11.6952428550888,0,1,1,NA
"462",462,0,4,10.3889799835841,1,1,0,NA
"463",463,NA,3,11.982929094216,0,0,1,NA
"464",464,1,2,11.1198754694258,0,1,0,0
"465",465,1,2,12.2060726455302,1,1,1,0
"466",466,0,3,11.6952428550888,1,0,0,NA
"467",467,1,1,11.982929094216,1,0,1,1
"468",468,1,5,NA,0,0,1,0
"469",469,1,4,12.2060726455302,1,1,1,NA
"470",470,1,NA,10.3889799835841,1,0,0,NA
"471",471,1,0,10.5320828785363,1,1,0,0
"472",472,0,1,11.1198754694258,1,1,0,NA
"473",473,1,0,11.6952428550888,1,1,1,0
"474",474,0,1,11.8493941301565,0,1,1,NA
"475",475,1,3,9.10492429921953,1,0,0,NA
"476",476,0,0,11.6952428550888,0,0,1,NA
"477",477,1,2,11.5129204649577,1,1,1,NA
"478",478,0,1,10.7144066575796,0,1,1,NA
"479",479,0,6,11.6952428550888,1,0,1,1
"480",480,1,2,11.5129204649577,0,0,0,NA
"481",481,-1,5,11.3205475116983,1,1,0,1
"482",482,1,2,10.9150793732642,1,0,1,0
"483",483,0,NA,NA,1,0,1,NA
"484",484,0,4,11.5129204649577,0,0,0,NA
"485",485,-1,4,11.8493941301565,0,1,0,1
"486",486,1,0,10.0753167566096,1,0,0,0
"487",487,1,0,11.1198754694258,1,1,0,0
"488",488,0,2,10.3889799835841,1,0,0,0
"489",489,0,2,10.9150793732642,0,0,1,NA
"490",490,1,0,NA,1,0,0,0
"491",491,0,5,12.2060726455302,1,1,1,0
"492",492,1,0,12.2060726455302,0,1,1,0
"493",493,1,0,12.2060726455302,1,1,0,0
"494",494,1,6,12.2060726455302,0,1,1,1
"495",495,1,6,10.7144066575796,1,1,0,1
"496",496,0,0,9.69581741805373,1,0,0,NA
"497",497,0,4,10.7144066575796,1,0,0,NA
"498",498,0,3,8.16037538012959,1,0,0,NA
"499",499,-1,3,10.3889799835841,0,0,1,NA
"500",500,0,NA,11.3205475116983,1,1,1,NA
"501",501,1,2,11.3205475116983,0,0,1,NA
"502",502,1,2,11.5129204649577,0,1,1,NA
"503",503,0,5,11.5129204649577,1,1,1,1
"504",504,0,4,11.5129204649577,0,0,1,1
"505",505,1,1,11.982929094216,0,0,1,0
"506",506,1,6,10.7144066575796,0,0,1,1
"507",507,0,3,11.8493941301565,0,1,1,NA
"508",508,0,1,11.5129204649577,1,1,1,0
"509",509,1,2,12.2060726455302,0,1,1,NA
"510",510,1,2,11.982929094216,1,1,1,0
"511",511,0,2,11.1198754694258,1,1,0,0
"512",512,1,3,NA,1,1,1,1
"513",513,1,3,10.2219231016712,0,1,1,NA
"514",514,0,3,11.982929094216,0,1,1,0
"515",515,1,5,12.2060726455302,0,1,1,1
"516",516,0,5,12.2060726455302,1,0,1,NA
"517",517,1,5,11.6952428550888,0,1,1,1
"518",518,1,1,10.3889799835841,1,1,1,0
"519",519,1,1,11.6952428550888,1,1,0,0
"520",520,0,6,10.9150793732642,0,0,1,1
"521",521,-1,5,11.3205475116983,0,1,1,1
"522",522,-1,6,11.1198754694258,1,0,1,1
"523",523,0,NA,11.6952428550888,0,0,1,1
"524",524,0,NA,9.69581741805373,0,0,0,NA
"525",525,-1,5,12.2060726455302,1,0,1,NA
"526",526,0,3,9.96408864466398,1,0,0,NA
"527",527,NA,3,NA,1,0,1,NA
"528",528,0,5,9.10492429921953,1,0,0,1
"529",529,-1,5,11.1198754694258,1,0,1,NA
"530",530,1,2,10.9150793732642,1,0,0,NA
"531",531,0,0,8.16037538012959,1,0,0,0
"532",532,1,0,9.52875773879718,0,0,0,0
"533",533,0,2,10.7144066575796,0,0,0,NA
"534",534,1,6,11.6952428550888,0,1,1,1
"535",535,1,6,12.2060726455302,1,0,1,1
"536",536,-1,NA,10.0753167566096,1,0,1,NA
